draft,pick,round,team,player,position,club,league,country
PWHL 2026,1,1,Vancouver Goldeneyes,Caroline “KK” Harvey,D,University of Wisconsin,NCAA,USA
PWHL 2026,2,1,Seattle Torrent,Abbey Murphy,F,University of Minnesota,NCAA,USA
PWHL 2026,3,1,PWHL Las Vegas,Tessa Janecke,F,Penn State University,NCAA,USA
PWHL 2026,4,1,PWHL San Jose,Laila Edwards,D,University of Wisconsin,NCAA,USA
PWHL 2026,5,1,PWHL Las Vegas,Lacey Eden,F,University of Wisconsin,NCAA,USA
PWHL 2026,6,1,PWHL Hamilton,Nelli Laitinen,D,University of Minnesota,NCAA,FINLAND
PWHL 2026,7,1,New York Sirens,Emma Peschel,D,Ohio State University,NCAA,USA
PWHL 2026,8,1,Toronto Sceptres,Kirsten Simms,F,University of Wisconsin,NCAA,USA
PWHL 2026,9,1,Minnesota Frost,Sara Swiderski,D,Ohio State University,NCAA,CANADA
PWHL 2026,10,1,Boston Fleet,Grace Dwyer,D,Cornell University,NCAA,USA
PWHL 2026,11,1,Ottawa Charge,Vivian Jungels,D,University of Wisconsin,NCAA,USA
PWHL 2026,12,1,Montréal Victoire,Petra Nieminen,F,Luleå,SDHL,FINLAND
NHL 2026,1,1,Toronto Maple Leafs,Gavin McKenna,LW,Penn State University,NCAA,CANADA
NHL 2026,2,1,San Jose Sharks,Ivar Stenberg,RW,Frölunda,SweHL,SWEDEN
NHL 2026,3,1,Vancouver Canucks,Caleb Malholtra,C,Brantford,OHL,CANADA
NHL 2026,4,1,Buffalo Sabres,Daxon Rudolph,D,Prince Albert,WHL,CANADA
NHL 2026,5,1,New York Rangers,Alberts Šmits,D,Jukurit,Liiga,LATVIA
NHL 2026,6,1,Calgary Flames,Carson Carels,D,Prince George,WHL,CANADA
NHL 2026,7,1,Seattle Kraken,Chase Reid,D,Sault Ste. Marie,OHL,USA
NHL 2026,8,1,Winnipeg Jets,Viggo Björck,C,Djurgården,SweHL,SWEDEN
NHL 2026,9,1,San Jose Sharks,Keaton Verhoeff,D,North Dakota,NCAA,CANADA
NHL 2026,10,1,Nashville Predators,Wyatt Cullen,RW,U.S. NDTP,USHL,USA
NHL 2026,11,1,St. Louis Blues,Tynan Lawrence,C,Boston University,NCAA,CANADA
NHL 2026,12,1,New Jersey Devils,Alexander Command,C,Örebero HK,SweHL,SWEDEN
NHL 2026,13,1,New York Islanders,Malte Gustafsson,D,HV71,SweHL,SWEDEN
NHL 2026,14,1,Columbus Blue Jackets,Oscar Hemming,LW,Boston College,NCAA,FINLAND
NHL 2026,15,1,Anaheim Ducks,Nikita Klepov,RW,Saginaw,OHL,USA
NHL 2026,16,1,St. Louis Blues,Maddox Dagenais,C,Quebec,QMJHL,CANADA
NHL 2026,17,1,Utah Mammoth,Ethan Belchetz,LW,Windsor,OHL,CANADA
NHL 2026,18,1,Washington Capitals,Oliver Suvanto,C,Tappara,Finland,FINLAND
NHL 2026,19,1,Los Angeles Kings,Elton Hermansson,RW,MoDo,Sweden,SWEDEN
NHL 2026,20,1,Buffalo Sabres,Ilia Morozov,C,Miami,NCAA,RUSSIA
NHL 2026,21,1,San Jose Sharks,Ryan Lin,D,Vancouver,WHL,CANADA
NHL 2026,22,1,Pittsburgh Penguins,Liam Ruck,RW,Medicine Hat,WHL,CANADA
NHL 2026,23,1,Detroit Red Wings,JP Hurlbert,LW,Kamloops,WHL,USA
NHL 2026,24,1,Vancouver Canucks,Adam Novotný,LW,Peterborough,OHL,CZECHIA
NHL 2026,25,1,Ottawa Senators,Jonas Lagerber Hoen,RW,Leksands,Sweden,SWEDEN
NHL 2026,26,1,Montreal Canadiens,Gleb Pugachyov,RW,Nizhny Novgorod Jr.,MHL,RUSSIA
NHL 2026,27,1,Philadelphia Flyers,Maksim Sokolovskii,D,London,OHL,RUSSIA
NHL 2026,28,1,Anaheim Ducks,Marcus Nordmark,LW,Djurgården Jr.,Sweden,SWEDEN
NHL 2026,29,1,Vegas Golden Knights,Juho Piiparinen,D,Tappara,Liiga,FINLAND
NHL 2026,30,1,Calgary Flames,Jack Hextall,C,Youngstown,USHL,USA
NHL 2026,31,1,Nashville Predators,Tommy Bleyl,D,Moncton,QMJHL,USA
NHL 2026,32,1,Ottawa Senators,Jaxon Cover,LW,London,OHL,CANADA
